Concern,Ingredient_1,Ingredient_2,Ingredient_3_Optional,Synergy_Type,Mechanism_Logic,Synergy_Bonus_Points,Mechanism_Group_ID,Minimum_Concentration_Rule
Pigmentation,Niacinamide,Tranexamic Acid,,complementary,Transfer inhibition + plasmin suppression,4,PIG_MEL_TRANSFER,Both >= effective range
Pigmentation,Vitamin C,Ferulic Acid,Vitamin E,stabilization,Antioxidant cascade stabilization,5,PIG_ANTIOX_NETWORK,Vit C >= effective; Ferulic >= supportive
Pigmentation,Alpha Arbutin,Niacinamide,,complementary,Dual melanin pathway block,3,PIG_TYROSINASE,Both >= effective
Pigmentation,Azelaic Acid,Niacinamide,,multi-pathway,Inflammation + pigment suppression,3,PIG_MULTI,Azelaic >= effective
Pigmentation,Kojic Acid,Vitamin C,,dual_inhibition,Tyrosinase inhibition synergy,3,PIG_TYROSINASE,At least one optimal
Pigmentation,Retinol,Tranexamic Acid,,turnover_plus_block,Turnover + pathway suppression,4,PIG_TURNOVER,Retinol >= effective
Pigmentation,Licorice Extract,Niacinamide,,complementary,Glabridin + transfer block,2,PIG_SUPPORT,Niacinamide >= effective
Pigmentation,Cysteamine,Niacinamide,,multi-pathway,Melanin breakdown + barrier support,4,PIG_STRONG,Cysteamine >= effective
Pigmentation,Vitamin C,Alpha Arbutin,,dual_pathway,Antioxidant + enzyme inhibition,3,PIG_TYROSINASE,Both >= effective
Pigmentation,Resveratrol,Vitamin C,,antioxidant_network,Polyphenol + ascorbate cascade,3,PIG_ANTIOX_NETWORK,Vit C >= effective
Acne & Oily Skin,Salicylic Acid,Niacinamide,,complementary,Exfoliation + sebum control,3,ACNE_SEBUM,Salicylic >= effective
Acne & Oily Skin,Benzoyl Peroxide,Adapalene,,triple_pathway,Antibacterial + comedolytic,5,ACNE_TRIPLE,Both >= effective
Acne & Oily Skin,Azelaic Acid,Salicylic Acid,,multi-pathway,Inflammation + pore exfoliation,4,ACNE_MULTI,At least one optimal
Acne & Oily Skin,Zinc PCA,Niacinamide,,sebum_regulation,Sebum synergy,3,ACNE_SEBUM,Niacinamide >= effective
Acne & Oily Skin,Sulfur,Niacinamide,,anti-inflammatory,Antimicrobial + calming,3,ACNE_ANTIINF,Sulfur >= effective
Acne & Oily Skin,Retinol,Salicylic Acid,,turnover_combo,Turnover + exfoliation,4,ACNE_TURNOVER,Retinol >= effective
Acne & Oily Skin,Clindamycin,Benzoyl Peroxide,,resistance_control,Resistance prevention combo,5,ACNE_TRIPLE,Both >= effective
Acne & Oily Skin,Tea Tree Oil,Niacinamide,,anti-inflammatory,Antimicrobial + calming,2,ACNE_SUPPORT,Niacinamide >= effective
Acne & Oily Skin,Glycolic Acid,Salicylic Acid,,exfoliation_ladder,Surface + pore exfoliation,3,ACNE_EXFOL,Both >= effective
Acne & Oily Skin,Niacinamide,Panthenol,,irritation_buffer,Barrier calming support,2,ACNE_SUPPORT,Niacinamide >= effective
Aging & Fine Lines,Retinol,Peptides,,collagen_support,Retinoid + signaling peptides,4,AGE_COLLAGEN,Retinol >= effective
Aging & Fine Lines,Vitamin C,Ferulic Acid,Vitamin E,antioxidant_cascade,Oxidative stress protection,5,AGE_ANTIOX,Vit C >= effective
Aging & Fine Lines,Bakuchiol,Retinol,,retinoid_boost,Lower irritation retinoid combo,4,AGE_RETINOID,Retinol >= effective
Aging & Fine Lines,CoQ10,Vitamin E,,lipid_antioxidant,Lipid antioxidant regeneration,3,AGE_ANTIOX,CoQ10 >= effective
Aging & Fine Lines,Resveratrol,Vitamin C,,antioxidant_network,Polyphenol cascade,3,AGE_ANTIOX,Vit C >= effective
Aging & Fine Lines,Retinol,Ceramides,,barrier_buffer,Turnover + lipid repair,3,AGE_RETINOID,Retinol >= effective
Aging & Fine Lines,Peptides,Hyaluronic Acid,,plump_signal,Signal + hydration plump,3,AGE_SUPPORT,Peptides >= effective
Aging & Fine Lines,Growth Factors,Antioxidants,,repair_network,Repair + oxidative protection,4,AGE_REPAIR,Growth factors >= effective
Aging & Fine Lines,Copper Peptides,Retinol,,matrix_remodel,Matrix repair synergy,4,AGE_COLLAGEN,Retinol >= effective
Aging & Fine Lines,DMAE,Peptides,,firming_combo,Neuromuscular + collagen support,3,AGE_SUPPORT,DMAE >= effective
Barrier Repair,Ceramide,Cholesterol,Fatty Acid,lipid_ratio,Physiologic lipid ratio,5,BARR_LIPID_TRIAD,All >= supportive level
Barrier Repair,Niacinamide,Ceramide,,lipid_synthesis,Stimulates ceramide production,4,BARR_LIPID_SYN,Niacinamide >= effective
Barrier Repair,Panthenol,Ceramide,,repair_support,Barrier + soothing,3,BARR_SUPPORT,Panthenol >= effective
Barrier Repair,Centella Asiatica,Panthenol,,anti-inflammatory,Inflammation reduction,3,BARR_SUPPORT,Centella >= effective
Barrier Repair,Urea,Ceramide,,hydration_lipid,Hydration + repair,3,BARR_HYDR,Urea >= effective
Barrier Repair,Squalane,Ceramide,,occlusive_balance,Occlusion + lipid repair,3,BARR_SUPPORT,Ceramide >= supportive
Barrier Repair,Beta Glucan,Ceramide,,immune_support,Immune modulation + repair,3,BARR_SUPPORT,Beta Glucan >= effective
Sensitive Skin,Panthenol,Allantoin,,calming_duo,Dual soothing agents,3,SENS_CALM,Both >= supportive
Sensitive Skin,Centella,Madecassoside,,anti-inflammatory,Triterpene synergy,4,SENS_CALM,Centella >= effective
Sensitive Skin,Colloidal Oat,Panthenol,,calming_combo,Barrier + soothing,4,SENS_CALM,Oat >= effective
Sensitive Skin,Niacinamide,Panthenol,,buffer_combo,Irritation buffering,3,SENS_SUPPORT,Niacinamide >= effective
Dehydration,Glycerin,Hyaluronic Acid,,humectant_stack,Multi-level hydration,3,DEHY_HUMECT,Both >= effective
Dehydration,Urea,Glycerin,,nmf_boost,Water binding synergy,4,DEHY_NMF,Urea >= effective
Dehydration,Sodium PCA,Amino Acids,,nmf_complex,Natural moisturizing factor support,3,DEHY_NMF,Both >= supportive
Dehydration,Hyaluronic Acid,Panthenol,,hydration_calm,Hydration + calming,3,DEHY_SUPPORT,HA >= effective
Dullness,AHA,Vitamin C,,exfoliation_antioxidant,Surface renewal + brightening,4,DULL_EXFOL,AHA >= effective
Dullness,Niacinamide,Vitamin C,,radiance_combo,Tone + glow improvement,3,DULL_SUPPORT,Vit C >= effective
Dullness,PHA,Antioxidants,,gentle_renewal,Low irritation renewal,3,DULL_EXFOL,PHA >= effective
Uneven Texture,Retinol,AHA,,turnover_ladder,Enhanced turnover,4,TEXT_TURN,Retinol >= effective
Uneven Texture,Salicylic Acid,Retinol,,deep_turnover,Pore + surface renewal,4,TEXT_TURN,Retinol >= effective
Uneven Texture,Urea,Lactic Acid,,hydrating_exfol,Keratolytic hydration,3,TEXT_EXFOL,Both >= effective
Dark Circles,Caffeine,Vitamin K,,vascular_support,Microcirculation improvement,4,DC_VASC,Caffeine >= effective
Dark Circles,Niacinamide,Caffeine,,tone_vascular,Brightening + vasoconstriction,3,DC_TONE,Niacinamide >= effective
Dark Circles,Retinol,Peptides,,structural_support,Firmness + collagen,4,DC_STRUCT,Retinol >= effective
